typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,semanticId
SubmodelElementCollection,StateflowChart_xPPU,,,CONSTANT,,,
Property,Summary,"Crane's process of handling workpieces, covering grab, transport, and placement steps with automated state transitions.""",,CONSTANT,,,
Property,PosSimPurpose,Control design,str,,,,
Property,TypeOfModel,Fixed causality model,str,,,,
Property,ScopeOfModel,Logic and timing behaviour,str,,,,
Property,LicenseModel,subscription,str,,,,
Property,EngineeringDomain,Control Engineering,str,,,,
SubmodelElementCollection,Environment,,,,,,
Property,OperatingSystem,Windows 10 64bit,str,,,,
Property,ToolEnvironment,"MATLAB Simulink, Version R2020a Update 5",str,,,,
Property,DependencyEnvironment,No specific hardware or software dependencies,,CONSTANT,,,
Property,VisualizationInformation,none,str,,,,
SubmodelElementCollection,SimulationTool,,,CONSTANT,,,
Property,SimToolName,"MATLAB Simulink, Version R2020a Update 5",str,CONSTANT,,,
SubmodelElementCollection,Solver,,,,,,
Property,SolverType,Fixed-step,,,,,
Property,SolverName,FixedStepDiscrete,,,,,
Property,FixedStepSize,0.1,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,ModelFile,,,CONSTANT,,,
Property,ModelFileType,slx,str,,,,
SubmodelElementCollection,ModelFileInfo,,,CONSTANT,,,
Property,ModelName,Simulink_to_xppu,,,,,
Property,Creator,Leonardo Igler,,,,,
Property,LastModifiedBy,Leonardo Igler,,,,,
Property,CreatedOn,Mon Nov 30 17:49:09 2020,,,,,
Property,ModelVersion,1.6,,,,,
Property,Description,,,,,,
End-SubmodelElementCollection,,,,,,,
File,ModelFile,D:\Code\python\src\simulation_info_2_csv\model\Simulink_to_xppu\Simulink_to_xppu.slx,,,,,
End-SubmodelElementCollection,,,,,,,
Property,ParamMethod,pre-parameterized,str,,,,
File,ParamFile,D:\Code\python\src\simulation_info_2_csv\model\Simulink_to_xppu\WP_by_Cran_oscillator_v2.mlx,,,,,
Property,SimTime,10,Float,,,,
SubmodelElementCollection,Input,,,,,,
Property,CraneDown,,boolean,,Input1,,
Property,WorkpieceReady,,boolean,,Input2,,
Property,CraneUp,,boolean,,Input3,,
Property,CraneSucked,,boolean,,Input4,,
Property,CraneOnMagazin,,boolean,,Input5,,
Property,CraneOnConveyor,,boolean,,Input6,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,results,,,,,,
Property,CraneLower,,boolean,,Output1,,
Property,MagazinVacuumOn,,boolean,,Output2,,
Property,CraneTurnClockwise,,boolean,,Output3,,
Property,CraneTurnCounterclockwise,,boolean,,Output4,,
End-SubmodelElementCollection,,,,,,,
File,Screenshot,D:\Code\python\src\simulation_info_2_csv\model\Simulink_to_xppu\Screenshot.png,,,,,
End-SubmodelElementCollection,,,,,,,
